song1,song2,distance
aji_bijano_ghorey,o_mayna_kotha_kao,101.19640144
aji_bijano_ghorey,o_polash_o_shimul,432.065825259
aji_bijano_ghorey,o_projapoti,148.797603738
aji_bijano_ghorey,orey_bagha_re,132.414463021
aji_bijano_ghorey,orey_sabdhani_pothik,130.619900554
aji_bijano_ghorey,pallabini_go,143.540738923
aji_bijano_ghorey,prantorero_gan,392.34593694
aji_bijano_ghorey,prem_ekbari_esechhilo,134.789557702
aji_bijano_ghorey,rong_shudhu,135.257218755
aji_bijano_ghorey,shanto_noditi,313.100572054
aji_bijano_ghorey,shesh_nahi_je,148.405981962
aji_bijano_ghorey,sobai_to_sukhi,126.917933176
aji_bijano_ghorey,surjo_dobar_pala,394.166508356
aji_bijano_ghorey,tai_tomar_anondo,120.972811811
aji_bijano_ghorey,tomar_shesh_bicharer,130.209990049
aji_bijano_ghorey,tumi_je_giyachho,371.527684664
aji_joto_tara,1976,151.640621261
aji_joto_tara,aji_bijano_ghorey,110.970119231
aji_joto_tara,aji_joto_tara,0.000934755868582
aji_joto_tara,amar_andhar_ghorer,248.47546768
aji_joto_tara,amar_bhuban_to_aj_holo_kangal,141.021735142
aji_joto_tara,amar_din_katey_na,526.329126283
aji_joto_tara,amar_ei_path_chawatei_anondo,122.117720109
aji_joto_tara,amar_swapno,175.458466039
aji_joto_tara,ami_andharer_rong,80.1342691497
aji_joto_tara,ami_cholte_cholte,480.103503278
aji_joto_tara,ami_jamini,1344.47963536
aji_joto_tara,ami_tomay_joto,694.788257591
aji_joto_tara,andhar_amar_rerec,202.447405042
aji_joto_tara,ay_bristi_jhnepe,742.940414512
aji_joto_tara,bnash_baganer_mathar_opor,367.752323976
aji_joto_tara,bonotol,164.08888569
aji_joto_tara,bristi_thamar,161.720621377
aji_joto_tara,charano_dhorite_diyo_go_amarey,1391.757814
aji_joto_tara,chompaboti,395.208761683
aji_joto_tara,chonchol_sonali,220.463602867
aji_joto_tara,dadra_kaharbay,97.5419974908
aji_joto_tara,dujoney_dekha_holo,177.168199546
aji_joto_tara,ei_duniyay_bhai,284.593480826
aji_joto_tara,ei_ghum_ghum_chand,166.042725125
aji_joto_tara,ekti_madhabi,97.5279065508
aji_joto_tara,emon_ekta_jhor_uthuk,978.690691405
aji_joto_tara,geetgobinda,382.307749636
aji_joto_tara,guit_horetzky_op18_amusemens_08,323.017315081
aji_joto_tara,guit_horetzky_op18_amusemens_09,473.824334068
aji_joto_tara,guit_horetzky_op18_amusemens_10,393.230181296
aji_joto_tara,guit_horetzky_op18_amusemens_11,197.522721358
aji_joto_tara,guit_horetzky_op18_amusemens_12,741.74024948
aji_joto_tara,guit_horetzky_op23_12_divertimentos_01_tempo_di_valse_in_c,555.01923687
aji_joto_tara,guit_hummel_allegretto_in_c,319.930564398
aji_joto_tara,guit_ivanov-kramskoi_prelude_in_e,1108.44147439
aji_joto_tara,guit_ivanov-kramskoi_sad_tune,583.714172359
